Marca,Modelo,Ano,Motor,Transmissão,Homologação do Fluido,Quantidade de fluído,Filtro da transmissão,Conexão da máquina de troca de fluidos,Imagem Conector,Imagem Local da Conexao ,Video Procedimento,Link,FALSE
AUDI,A4,2001-2008,L4 1.8L T  V6 3.0L,01J,Homologação G 052 180,"Parcial (Carter): 4,5 LITROS
Total para Nível: 7,7 LITROS
Diálise: 9,5 LITROS",,Conector A42,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/17,
AUDI,A3,2000-2006,L4 1.6L 1.8L 1.8T 150CV,01M,Homologação G 052 162,"Parcial (Carter): 3,4 LITROS
Total para Nível: 5,4 LITROS
Diálise: 7,5 LITROS",Mahle: HX147 KIT,Conector A18,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/9,
AUDI,A4,2000-2001,L4 1.8L V6 2.6L 2.8L,01M / AG4,Homologação G 052 162,"Parcial (Carter): 3,4 LITROS
Total para Nível: 5,4 LITROS
Diálise: 7,5 LITROS",Mahle: HX147 KIT,Conector A18,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/16,
AUDI,A4,2000-2001,L4 1.6L 1.8L 1.9L 2.0L,01N,Homologação G 052 162,"Parcial (Carter): 3,6 LITROS
Total para Nível: 5,75 LITROS
Diálise: 7,50 LITROS",OEM: 01N-398-009,A07,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/15,
AUDI,A3,2000-2006,L4 1.8T 180CV,09A / JF506E,Homologação G 052 990,"Parcial (Carter): 4,20 LITROS
Total para Nível: 8,8 LITROS
Diálise: 11,0 LITROS",Não possui acesso ao filtro.,Conector A16,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/10,
AUDI,Q7,2008-2010,V6 3.6L 4.2L,09D / TR60SN,Homologação G 055 005,"Parcial (Carter): 4,3 LITROS
Total para Nível: 9,7 LITROS
Diálise: 12,0 LITROS",OEM: 09D325429,Conector A27,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/45,
AUDI,Q3,2016-2024,L4 2.0L TFSi,09P / AQ450,Homologação G 055 540,"Parcial (Carter): 3,4 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS",OEM: 09P 325 429,Conector A106,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1215,
AUDI,A4,2008-2016,L4 1.8L 2.0L TFSI,0AW / VL381,Homologação G 052 516,"Parcial (Carter): 5,2 LITROS
Total para Nível: 8,1 LITROS
Diálise: 10,0 LITROS",OEM: 0AW301516H,Conector A33 / A83,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/19,
AUDI,A5,2010-2016,L4 1.8L  L4 2.0L TFSI,0AW / VL381,Homologação G 052 516,"Parcial (Carter): 5,20 LITROS
Total para Nível: 8,10 LITROS
Diálise: 10,0 LITROS",OEM: 0AW301516H,Conector A33 / A83,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/22,
AUDI,A4,1996-2007,L4 1.8L V6 L 2.8L,5HP19FL,Homologação G 052 162,"Parcial (Carter): 2,95 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 01V-325-421
01V-325-429",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/14,
AUDI,S6/RS6,2003-2006,V8 4.2L,5HP19FL,Homologação G 052 162,"Parcial (Carter): 2,95 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 01V-325-421
01V-325-429",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/57,
AUDI,ALLROAD,2002-2005,V6 2.7L V8 4.2L,5HP19FL / 01L,Homologação G 052 162,"Parcial (Carter): 2,95 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 01V-325-421
01V-325-429",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/38,
AUDI,A6,1997-2005,L 1.8L V6 2.4L 3.0L,5HP19FL / 01V,Homologação G 052 162,"Parcial (Carter): 2,95 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 01V-325-421
01V-325-429",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/24,
AUDI,A8,1997-2003,V6 2.5L 2.8L V8 3.7L,5HP19FL / 01V,Homologação G 052 162,"Parcial (Carter): 2,95 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 01V-325-421
01V-325-429",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/34,
